"","ID","unidade","cidadania"
"291","Obs298","UFAL A.C. Simões",2.16666666666667
"292","Obs299","UFAL A.C. Simões",2
"293","Obs300","UFAL A.C. Simões",1.66666666666667
"294","Obs302","UFAL A.C. Simões",3.33333333333333
"295","Obs303","UFAL CECA",1.33333333333333
"296","Obs304","UFAL A.C. Simões",2.5
"297","Obs305","UFAL CECA",1.5
"298","Obs306","UFAL A.C. Simões",1.66666666666667
"299","Obs307","UFAL A.C. Simões",1.83333333333333
"300","Obs308","UFAL Arapiraca",2.33333333333333
"301","Obs309","UFAL Arapiraca",1.5
"302","Obs310","UFAL A.C. Simões",2.83333333333333
"303","Obs311","UFAL A.C. Simões",2.66666666666667
"304","Obs312","UFAL A.C. Simões",2.83333333333333
"305","Obs313","UFAL Arapiraca",3.66666666666667
"306","Obs315","UFAL A.C. Simões",1.66666666666667
"307","Obs316","UFAL Arapiraca",2.5
"308","Obs317","UFAL CECA",2
"309","Obs318","UFAL A.C. Simões",1.33333333333333
"310","Obs319","UFAL A.C. Simões",3.33333333333333
"311","Obs320","UFAL A.C. Simões",3.16666666666667
"312","Obs322","UFAL Arapiraca",4.83333333333333
"313","Obs323","UFAL A.C. Simões",2.5
"314","Obs324","UFAL A.C. Simões",2.33333333333333
"315","Obs325","UFAL A.C. Simões",3.16666666666667
"316","Obs326","UFAL A.C. Simões",1.83333333333333
"317","Obs327","UFAL A.C. Simões",1.33333333333333
"318","Obs328","UFAL Arapiraca",2.5
"319","Obs329","UFAL A.C. Simões",2.16666666666667
"320","Obs330","UFAL A.C. Simões",3
