ID,etapa.de.ensino,area.de.conhecimento,formacao.continuada,unidade,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23
5e9b1874a861ff156f61bc41,Ensino Superior,Engenharias,Pós-doutorado - Concluído,UFAL A.C. Simões,3,2,1,1,3,2,2,3,2,2,2,3,1,3,2,3,1,1,2,3,1,2,3
5e9b2a45a861ff156f61bc87,Ensino Superior,Ciências Exatas e da Terra,NA,UFAL A.C. Simões,3,2,1,1,1,2,2,3,4,5,3,1,1,1,1,3,3,3,3,1,1,1,1
5e9c4035a861ff28871f28a9,Ensino Superior,Ciências Exatas e da Terra,Formação continuada - Em andamento,UFAL A.C. Simões,2,2,2,1,2,1,1,2,2,2,2,4,1,4,2,4,1,1,3,2,1,2,2
5e9c4543a861ff288b0029e3,Ensino Superior,Ciências da Saúde,Formação continuada - Em andamento,UFAL A.C. Simões,2,2,2,3,2,1,1,3,3,4,3,4,3,2,2,4,3,1,4,1,1,2,3
5e9caddba861ff288b002a78,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,4,3,2,3,3,2,4,3,3,2,3,4,2,3,2,5,2,1,3,2,3,2,3
5e9cd8d4a861ff288b002a9f,Ensino Superior,Ciências Humanas;Linguística/Letras e Artes,NA,UFAL A.C. Simões,5,4,5,3,4,2,3,3,2,3,3,4,4,4,2,4,3,1,4,2,3,2,4
5e9cf5d3a861ff28871f2995,Ensino Superior,Ciências da Saúde,Formação continuada - Em andamento,UFAL A.C. Simões,3,3,3,3,3,1,2,3,4,4,3,4,1,2,2,5,2,2,4,4,3,2,2
5e9cf691a861ff288b002ab2,Ensino Superior,Engenharias,NA,UFAL A.C. Simões,2,2,2,2,3,1,2,3,3,3,2,3,2,2,2,3,2,1,3,2,2,3,3
5e9d8b77a861ff3b572b80fb,Ensino Superior,Ciências Exatas e da Terra,Formação continuada - Em andamento,UFAL A.C. Simões,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,2,2,2,2,1,2,3
5e9dd3c6a861ff3b572b81ff,Ensino Superior,Ciências Sociais Aplicadas,Especialização - Concluída,UFAL A.C. Simões,2,2,2,3,3,3,3,3,2,3,3,4,4,3,3,4,4,2,4,4,3,2,3
5e9de70fa861ff3b5bb0fa2a,Ensino Superior,Ciências Biológicas,NA,UFAL A.C. Simões,3,2,2,1,1,2,3,3,3,2,3,5,2,2,2,3,2,2,2,3,1,2,4
5e9dfecfa861ff3b5bb0fa5f,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,2,2,1,2,1,1,3,3,2,3,3,4,1,2,1,5,1,1,4,1,3,4,3
5e9e0b40a861ff3b5bb0fa7e,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,2,3,2,2,1,2,2,3,3,3,2,4,2,1,1,3,2,1,1,1,2,2,2
5e9e0edaa861ff3b572b82d4,Ensino Superior,Ciências Sociais Aplicadas,Mestrado - Concluído,UFAL A.C. Simões,4,4,4,3,3,2,4,3,3,3,3,5,2,4,2,4,2,2,4,4,2,2,4
5e9e0efba861ff3b5bb0faa1,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,3,2,1,1,1,1,1,3,2,3,2,4,3,3,2,4,2,2,2,2,1,1,3
5e9e2797a861ff3b5bb0fae9,Ensino Superior,Ciências Exatas e da Terra,NA,UFAL A.C. Simões,3,3,4,4,3,2,2,4,3,3,4,4,2,4,2,4,2,3,3,3,3,2,2
5e9e4316a861ff3b5bb0fb22,Ensino Superior,Ciências da Saúde,Doutorado - Concluído,UFAL A.C. Simões,2,3,1,1,2,1,2,2,1,3,2,3,1,2,2,3,1,1,2,2,3,2,3
