ID,etapa.de.ensino,unidade,pedagogica,cidadania,desenvolvimento
5e8f534ea861ff3027b947f1,Ensino Superior,UFAL A.C. Simões,3.25,3.8333333333333335,4.333333333333333
5e8f5416a861ff3023f708f4,Ensino Superior,UFAL A.C. Simões,1.25,2.3333333333333335,1.3333333333333333
5e8f6906a861ff3027b9480d,Ensino Superior,UFAL A.C. Simões,3,2,3
5e8f6d79a861ff3027b9481b,Ensino Superior,UFAL CECA,1.75,2.1666666666666665,2.3333333333333335
5e8f770da861ff3023f70958,Ensino Superior,UFAL A.C. Simões,1.75,1.6666666666666667,2
5e8f7b54a861ff3023f70969,Ensino Superior,UFAL A.C. Simões,1.25,2,3
5e8f8180a861ff3027b9484b,Ensino Superior,UFAL A.C. Simões,2.75,2.5,3
5e8f8f05a861ff3027b94877,Ensino Superior,UFAL A.C. Simões,1.75,2.5,3
5e8fb660a861ff3023f709db,Ensino Superior,UFAL A.C. Simões,3.75,3.5,4.333333333333333
5e8fc3fca861ff3023f709f3,Ensino Superior,UFAL A.C. Simões,4,3.8333333333333335,4
5e8fc4b4a861ff3027b948a9,Ensino Superior,UFAL A.C. Simões,1.75,2.5,3
5e907623a861ff49215e3290,Ensino Superior,UFAL A.C. Simões,2,2.5,4
5e90814ca861ff4925848a37,Ensino Superior,UFAL A.C. Simões,4.75,3,2
5e90dfcfa861ff4925848a8e,Ensino Superior,UFAL A.C. Simões,1,2.6666666666666665,1
5e90e833a861ff4925848a9f,Ensino Superior,UFAL A.C. Simões,1,1.3333333333333333,2
5e911aafa861ff4925848ac9,Ensino Superior,UFAL A.C. Simões,2,1.5,2.3333333333333335
5e91be71a861ff59adc58000,Ensino Superior,UFAL A.C. Simões,1.25,2,1.6666666666666667
5e91c82ca861ff59adc58006,Ensino Superior,UFAL CECA,1.25,1.5,1
5e91ce60a861ff59adc58018,Ensino Superior,UFAL A.C. Simões,2.5,3.3333333333333335,3.3333333333333335
5e92f650a861ff68336d084c,Ensino Superior,UFAL A.C. Simões,4,3.5,4.333333333333333
5e944d3fa861ff7896812ca1,Ensino Superior,UFAL A.C. Simões,1.25,2,3
5e945ae3a861ff7892432234,Ensino Superior,UFAL A.C. Simões,2.75,2.3333333333333335,3.3333333333333335
5e947071a861ff7896812cea,Ensino Superior,UFAL A.C. Simões,1,1.5,1.3333333333333333
5e947b75a861ff789243227b,Ensino Superior,UFAL A.C. Simões,2.5,2.1666666666666665,4
5e947c08a861ff789243227e,Ensino Superior,UFAL A.C. Simões,2.25,2.1666666666666665,3
5e947d14a861ff7892432286,Ensino Superior,UFAL A.C. Simões,1.25,1.5,1.6666666666666667
5e9482a2a861ff7892432292,Ensino Técnico,UFAL A.C. Simões,2.25,2.1666666666666665,2.3333333333333335
5e948f03a861ff7896812d67,Ensino Superior,UFAL A.C. Simões,1.5,2.3333333333333335,2.3333333333333335
5e9492cda861ff78924322e7,Ensino Superior,UFAL A.C. Simões,3.25,2.6666666666666665,3.6666666666666665
5e949de0a861ff7892432311,Ensino Superior,UFAL A.C. Simões,2.5,2.8333333333333335,3.3333333333333335
5e949fa4a861ff789243231a,Ensino Superior,UFAL A.C. Simões,2.5,2.3333333333333335,3
5e94a2d4a861ff7896812d91,Ensino Superior,UFAL Sertão,3.25,3.5,1.6666666666666667
5e94a793a861ff7896812dab,Ensino Superior,UFAL Arapiraca,2.25,2.1666666666666665,4.333333333333333
5e94ab3fa861ff7896812dad,Ensino Superior,UFAL A.C. Simões,3.5,4,4
5e94bd37a861ff7892432380,Ensino Superior,UFAL A.C. Simões,1,1.3333333333333333,2
5e94bd54a861ff7892432381,Ensino Superior,UFAL A.C. Simões,1.5,2.6666666666666665,2.6666666666666665
5e94cdf7a861ff789243241c,Ensino Superior,UFAL A.C. Simões,1.25,2.1666666666666665,3
5e94d558a861ff7896812e72,Ensino Superior,UFAL A.C. Simões,1.75,3,2.3333333333333335
5e94e62ca861ff7892432450,Ensino Superior,UFAL A.C. Simões,1.75,2.1666666666666665,2.3333333333333335
